"filename", "language", "Properties", "Python", "PowerShell", "Batch", "XML", "C", "Markdown", "HTML", "CSS", "JavaScript", "comment", "blank", "total"
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject\venv\Lib\site-packages\django\conf\locale\ar\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject\venv\Lib\site-packages\django\conf\locale\ar\formats.py", "Python", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 13, 2, 22
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject\venv\Lib\site-packages\django\conf\locale\ar_DZ\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject\venv\Lib\site-packages\django\conf\locale\ar_DZ\formats.py", "Python", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 30
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject\venv\Lib\site-packages\django\conf\locale\az\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject\venv\Lib\site-packages\django\conf\locale\az\formats.py", "Python", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 31
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject\venv\Lib\site-packages\django\conf\locale\bg\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject\venv\Lib\site-packages\django\conf\locale\bg\formats.py", "Python", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 14, 2, 22
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject\venv\Lib\site-packages\django\conf\locale\bn\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject\venv\Lib\site-packages\django\conf\locale\bn\formats.py", "Python", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 9, 2, 33
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject\venv\Lib\site-packages\django\conf\locale\bs\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject\venv\Lib\site-packages\django\conf\locale\bs\formats.py", "Python", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 12, 2, 22
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject\venv\Lib\site-packages\django\conf\locale\ca\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject\venv\Lib\site-packages\django\conf\locale\ca\formats.py", "Python", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 31
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject\venv\Lib\site-packages\django\conf\locale\ckb\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject\venv\Lib\site-packages\django\conf\locale\ckb\formats.py", "Python", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 10, 2, 22
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject\venv\Lib\site-packages\django\conf\locale\cs\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject\venv\Lib\site-packages\django\conf\locale\cs\formats.py", "Python", 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 9, 2, 44
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject\venv\Lib\site-packages\django\conf\locale\cy\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject\venv\Lib\site-packages\django\conf\locale\cy\formats.py", "Python", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 34
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject\venv\Lib\site-packages\django\conf\locale\da\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject\venv\Lib\site-packages\django\conf\locale\da\formats.py", "Python", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 27
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject\venv\Lib\site-packages\django\conf\locale\de\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject\venv\Lib\site-packages\django\conf\locale\de\formats.py", "Python", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 8, 2, 30
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject\venv\Lib\site-packages\django\conf\locale\de_CH\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject\venv\Lib\site-packages\django\conf\locale\de_CH\formats.py", "Python", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 13, 3, 36
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject\venv\Lib\site-packages\django\conf\locale\el\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject\venv\Lib\site-packages\django\conf\locale\el\formats.py", "Python", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 35
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject\venv\Lib\site-packages\django\conf\locale\en\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject\venv\Lib\site-packages\django\conf\locale\en\formats.py", "Python", 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 22, 4, 66
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject\venv\Lib\site-packages\django\conf\locale\en_AU\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject\venv\Lib\site-packages\django\conf\locale\en_AU\formats.py", "Python", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 14, 2, 42
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject\venv\Lib\site-packages\django\conf\locale\en_GB\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject\venv\Lib\site-packages\django\conf\locale\en_GB\formats.py", "Python", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 14, 2, 42
